Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Soap Box Laundry Cleaners,(205) 822-4825,info@soapboxlaundromatbham.com,http://soapboxlaundromatbham.com,3133 Lorna Rd,Birmingham,AL,35216,https://www.facebook.com/soapboxbham/,,,,['Mo-Su 07:00-23:00'],,,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/soap-box-laundry-cleaners-14658166?lid=1001961721301,"Largest Machines in Town. 44 oversized Commercial Washers. Wash Dry Fold, Same Day Service Available. One Price Dry Cleaning. Linens-Tables-Cloths-Household Goods, Comforters-Sleeping Bags-Uniforms. Owner Operated Extra Clean Facility."
Laundry Room The,(205) 822-5900,,http://hoovercoinlaundry.com,3309 Lorna Rd,Birmingham,AL,35216,,,,,"['Mo-Sa 07:00-23:00', 'Su 08:00-23:00']",5,1,21 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/laundry-room-the-7638989,Villiage On Lorna- Hoover. Wash * DRY * FOLD. Attendant On Duty. Monday- Saturday 7am - 11 pm & Sunday 8am - 11pm. 18 lbs to 80 lbs Machines
Suds And Duds,(205) 407-5003,,,1409 15th St S,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/suds-and-duds-553701522,
Wash & Go Coin Laundry,(205) 201-1087,,http://www.washngoalabama.com,500 Palisades Blvd # 302,Birmingham,AL,35209,,,,,['Mo-Su 00:00-23:59'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/wash-go-coin-laundry-524001721,
C & R Laundromat,(205) 836-3868,,,7729 2nd Ave S,Birmingham,AL,35206,,,,,['Mo-Su 07:00-20:30'],,,42 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/c-r-laundromat-866513,
The Laundry Mat,(205) 941-1999,,,407 Valley Ave,Birmingham,AL,35209,,,,,['Mo-Su 07:00-22:00'],,,22 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/the-laundry-mat-9409753,
Spin Cleaners,(205) 324-1252,,http://www.spindrycleaner.com,201 Richard Arrington Jr Blvd S,Birmingham,AL,35233,,,,,"['Mo-Fr 07:00-18:00', 'Sa 09:00-14:00']",5,3,29 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/spin-cleaners-467335148,
Hollywood Laundry,(205) 777-4024,,https://www.facebook.com/pages/hollywood-laundry/109141436095981,2254 Bessemer Rd,Birmingham,AL,35208,,,,,['Mo-Su'],2.5,4,13 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/hollywood-laundry-460103867,
Laundry Depot,(205) 224-5918,,http://www.laundryservicebirmingham.com,943 Forestdale Blvd,Birmingham,AL,35214,,,,,['Mo-Su 05:00-00:00'],5,1,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/laundry-depot-15901649,
Bragg Cleaners & One Stop,(205) 252-0508,,,2020 24th St N,Birmingham,AL,35234,,,,,,,,29 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/bragg-cleaners-one-stop-5837345,
Sun Wash Laundromat,(205) 841-3894,,,1816 Pinson Valley Pkwy,Birmingham,AL,35217,,,,,['Mo-Su 08:00-19:50'],,,22 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/sun-wash-laundromat-9674900,
University Laundromat,(205) 552-9761,univlaundromat@att.net,,1169 11th Ave S,Birmingham,AL,35205,,,,,['Mo-Su 06:00-22:00'],,,11 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/university-laundromat-470788380,"Laundromat facility with multiple size washers and dryers. Other amenities include free wi-fi, largescreen TVs, on-duty attendant, detergents, wash-dry-fold service, dry cleaning drop-off service, off-street parking. Clean and well-lit."
Crothall Laundry Service,(205) 254-3324,,http://crothall.com,608 37th St N,Birmingham,AL,35222,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/crothall-laundry-service-471853258,
Laundramate,(205) 250-6100,univlaundromat@att.net,,849 Dennison Ave SW,Birmingham,AL,35211,,,,,['Mo-Su 07:30-20:30'],,,15 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/laundramate-5072182,
Five Points Highlander Laundry,(205) 787-5803,,,4612 Avenue V,Birmingham,AL,35208,,,,,['Mo-Su 07:30-20:00'],,,43 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/five-points-highlander-laundry-4980274,
Ready Maid Laundry,(205) 705-5573,,,200 Sam Pate Drive,Center Point,AL,35215,,,,,"['Mo-Fr 07:00-19:00', 'Sa-Su 10:30-17:00']",,,11 Years,,,,,https://www.yellowpages.com/center-point-al/mip/ready-maid-laundry-480199439,"Ready Maid Laundry will pick up and drop off your laundry within the next business day. (offering same-day service). The cost for our pick up and drop off services is FREE. We take items that need to be washed and dried, with no pressing or dry cleaning involved. This is a great service for the busy mom or the college student who does not have time to do their laundry."
The Wash Tub,(205) 786-9449,,,27 Park Rd Ste 209,Pleasant Grove,AL,35127,,,,,['Mo-Fr 09:00-17:00'],,,20 Years,,,,Accredited Business,https://www.yellowpages.com/pleasant-grove-al/mip/the-wash-tub-455964680,
Lavanderia Inc,(205) 637-7633,,,2085 Colonial Dr,Vestavia Hills,AL,35216,,,,,"['Mo-Sa 08:00-17:00', 'Su 10:00-17:00']",,,,,,,,https://www.yellowpages.com/vestavia-hills-al/mip/lavanderia-inc-11635707,
Laundry and Tan Center,(205) 956-3515,,,4500 Montevallo Rd Ste A102,Irondale,AL,35210,,,,,['Mo-Su 07:30-21:00'],,,31 Years,,,,,https://www.yellowpages.com/irondale-al/mip/laundry-and-tan-center-2678898,
Laundry Place,(205) 853-9948,,,2499 1st St NE,Center Point,AL,35215,,,,,['Mo-Su 08:00-21:00'],5,1,20 Years,,,,Accredited Business,https://www.yellowpages.com/center-point-al/mip/laundry-place-8001036,
5 Star Cleaners,(205) 981-3423,delivery@5stardryclean.com,http://www.5stardryclean.com,5184 Caldwell Mill Rd Ste 202,Hoover,AL,35244,,,,,['Mo-Fr 07:00-18:30'],,,11 Years,,,,Accredited Business,https://www.yellowpages.com/hoover-al/mip/5-star-cleaners-474679553,
Ranco 1 Day Cleaners,(205) 744-5920,,,270 Forest Rd,Bessemer,AL,35023,,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-14:00']",5,1,32 Years,,,,,https://www.yellowpages.com/bessemer-al/mip/ranco-1-day-cleaners-5239335,
Holly Ridge Laundry,(205) 491-9728,,,3102 Allison Bonnett Memorial Dr,Bessemer,AL,35023,,,,,['Mo-Sa 07:00-21:00'],1,1,,,,,,https://www.yellowpages.com/bessemer-al/mip/holly-ridge-laundry-483155737,
Crystal Laundry,(205) 426-4463,morris1046@att.net,,1724 4th Ave N,Bessemer,AL,35020,,,,,"['Mo 07:00-18:00', 'We-Su 07:00-18:00']",,,20 Years,,,,Accredited Business,https://www.yellowpages.com/bessemer-al/mip/crystal-laundry-2689938,
Tuxshop,(205) 408-1801,,,200 Doug Baker Blvd,Hoover,AL,35242,,,,,"['Mo-Fr 07:00-19:00', 'Sa 09:00-14:00']",1,1,,,,,,https://www.yellowpages.com/hoover-al/mip/tuxshop-451171830,
Pike's Coin Laundry,(205) 425-2646,,,317 4th St N,Bessemer,AL,35020,,,,,"['Mo-Fr 07:30-19:30', 'Sa-Su 07:00-19:30']",,,,,,,,https://www.yellowpages.com/bessemer-al/mip/pikes-coin-laundry-11197243,
Mark's Quality Cleaners,(205) 991-8433,josh@marksqualitycleaners.com,http://www.marksqualitycleaners.com/main#!,,,,,,,,,"['Mo-Fr 06:45-18:30', 'Sa 08:00-14:00']",,,42 Years,,,,Accredited Business,https://www.yellowpages.com/nationwide/mip/marks-quality-cleaners-549055786,"Specializing in: 
- Dry Cleaners & Laundries 
- Delivery Service"
Coin Laundry,(205) 956-3515,,http://www.agorawa.com,4500 Montevallo Rd,Irondale,AL,35210,,,,,['Mo-Su 07:30-21:00'],5,1,27 Years,,,,,https://www.yellowpages.com/irondale-al/mip/coin-laundry-452500504,
Coin Laundry,(205) 440-1002,,,1728 15th St N,Bessemer,AL,35020,,,,,['Mo-Su 07:00-22:00'],,,16 Years,,,,Accredited Business,https://www.yellowpages.com/bessemer-al/mip/coin-laundry-467285341,
Soap Box Laundry Cleaners,(205) 822-4825,info@soapboxlaundromatbham.com,http://soapboxlaundromatbham.com,3133 Lorna Rd,Birmingham,AL,35216,https://www.facebook.com/soapboxbham/,,,,['Mo-Su 07:00-23:00'],,,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/soap-box-laundry-cleaners-14658166?lid=1001961721301,"Largest Machines in Town. 44 oversized Commercial Washers. Wash Dry Fold, Same Day Service Available. One Price Dry Cleaning. Linens-Tables-Cloths-Household Goods, Comforters-Sleeping Bags-Uniforms. Owner Operated Extra Clean Facility."
Laundry Room The,(205) 822-5900,,http://hoovercoinlaundry.com,3309 Lorna Rd,Birmingham,AL,35216,,,,,"['Mo-Sa 07:00-23:00', 'Su 08:00-23:00']",5,1,21 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/laundry-room-the-7638989,Villiage On Lorna- Hoover. Wash * DRY * FOLD. Attendant On Duty. Monday- Saturday 7am - 11 pm & Sunday 8am - 11pm. 18 lbs to 80 lbs Machines
Suds And Duds,(205) 407-5003,,,1409 15th St S,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/suds-and-duds-553701522,
Wash & Go Coin Laundry,(205) 201-1087,,http://www.washngoalabama.com,500 Palisades Blvd # 302,Birmingham,AL,35209,,,,,['Mo-Su 00:00-23:59'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/wash-go-coin-laundry-524001721,
C & R Laundromat,(205) 836-3868,,,7729 2nd Ave S,Birmingham,AL,35206,,,,,['Mo-Su 07:00-20:30'],,,42 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/c-r-laundromat-866513,
The Laundry Mat,(205) 941-1999,,,407 Valley Ave,Birmingham,AL,35209,,,,,['Mo-Su 07:00-22:00'],,,22 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/the-laundry-mat-9409753,
Spin Cleaners,(205) 324-1252,,http://www.spindrycleaner.com,201 Richard Arrington Jr Blvd S,Birmingham,AL,35233,,,,,"['Mo-Fr 07:00-18:00', 'Sa 09:00-14:00']",5,3,29 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/spin-cleaners-467335148,
Hollywood Laundry,(205) 777-4024,,https://www.facebook.com/pages/hollywood-laundry/109141436095981,2254 Bessemer Rd,Birmingham,AL,35208,,,,,['Mo-Su'],2.5,4,13 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/hollywood-laundry-460103867,
Laundry Depot,(205) 224-5918,,http://www.laundryservicebirmingham.com,943 Forestdale Blvd,Birmingham,AL,35214,,,,,['Mo-Su 05:00-00:00'],5,1,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/laundry-depot-15901649,
Bragg Cleaners & One Stop,(205) 252-0508,,,2020 24th St N,Birmingham,AL,35234,,,,,,,,29 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/bragg-cleaners-one-stop-5837345,
Sun Wash Laundromat,(205) 841-3894,,,1816 Pinson Valley Pkwy,Birmingham,AL,35217,,,,,['Mo-Su 08:00-19:50'],,,22 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/sun-wash-laundromat-9674900,
University Laundromat,(205) 552-9761,univlaundromat@att.net,,1169 11th Ave S,Birmingham,AL,35205,,,,,['Mo-Su 06:00-22:00'],,,11 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/university-laundromat-470788380,"Laundromat facility with multiple size washers and dryers. Other amenities include free wi-fi, largescreen TVs, on-duty attendant, detergents, wash-dry-fold service, dry cleaning drop-off service, off-street parking. Clean and well-lit."
Crothall Laundry Service,(205) 254-3324,,http://crothall.com,608 37th St N,Birmingham,AL,35222,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/crothall-laundry-service-471853258,
Laundramate,(205) 250-6100,univlaundromat@att.net,,849 Dennison Ave SW,Birmingham,AL,35211,,,,,['Mo-Su 07:30-20:30'],,,15 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/laundramate-5072182,
Five Points Highlander Laundry,(205) 787-5803,,,4612 Avenue V,Birmingham,AL,35208,,,,,['Mo-Su 07:30-20:00'],,,43 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/five-points-highlander-laundry-4980274,
Ready Maid Laundry,(205) 705-5573,,,200 Sam Pate Drive,Center Point,AL,35215,,,,,"['Mo-Fr 07:00-19:00', 'Sa-Su 10:30-17:00']",,,11 Years,,,,,https://www.yellowpages.com/center-point-al/mip/ready-maid-laundry-480199439,"Ready Maid Laundry will pick up and drop off your laundry within the next business day. (offering same-day service). The cost for our pick up and drop off services is FREE. We take items that need to be washed and dried, with no pressing or dry cleaning involved. This is a great service for the busy mom or the college student who does not have time to do their laundry."
The Wash Tub,(205) 786-9449,,,27 Park Rd Ste 209,Pleasant Grove,AL,35127,,,,,['Mo-Fr 09:00-17:00'],,,20 Years,,,,Accredited Business,https://www.yellowpages.com/pleasant-grove-al/mip/the-wash-tub-455964680,
Lavanderia Inc,(205) 637-7633,,,2085 Colonial Dr,Vestavia Hills,AL,35216,,,,,"['Mo-Sa 08:00-17:00', 'Su 10:00-17:00']",,,,,,,,https://www.yellowpages.com/vestavia-hills-al/mip/lavanderia-inc-11635707,
Laundry and Tan Center,(205) 956-3515,,,4500 Montevallo Rd Ste A102,Irondale,AL,35210,,,,,['Mo-Su 07:30-21:00'],,,31 Years,,,,,https://www.yellowpages.com/irondale-al/mip/laundry-and-tan-center-2678898,
Laundry Place,(205) 853-9948,,,2499 1st St NE,Center Point,AL,35215,,,,,['Mo-Su 08:00-21:00'],5,1,20 Years,,,,Accredited Business,https://www.yellowpages.com/center-point-al/mip/laundry-place-8001036,
5 Star Cleaners,(205) 981-3423,delivery@5stardryclean.com,http://www.5stardryclean.com,5184 Caldwell Mill Rd Ste 202,Hoover,AL,35244,,,,,['Mo-Fr 07:00-18:30'],,,11 Years,,,,Accredited Business,https://www.yellowpages.com/hoover-al/mip/5-star-cleaners-474679553,
Ranco 1 Day Cleaners,(205) 744-5920,,,270 Forest Rd,Bessemer,AL,35023,,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-14:00']",5,1,32 Years,,,,,https://www.yellowpages.com/bessemer-al/mip/ranco-1-day-cleaners-5239335,
Holly Ridge Laundry,(205) 491-9728,,,3102 Allison Bonnett Memorial Dr,Bessemer,AL,35023,,,,,['Mo-Sa 07:00-21:00'],1,1,,,,,,https://www.yellowpages.com/bessemer-al/mip/holly-ridge-laundry-483155737,
Crystal Laundry,(205) 426-4463,morris1046@att.net,,1724 4th Ave N,Bessemer,AL,35020,,,,,"['Mo 07:00-18:00', 'We-Su 07:00-18:00']",,,20 Years,,,,Accredited Business,https://www.yellowpages.com/bessemer-al/mip/crystal-laundry-2689938,
Tuxshop,(205) 408-1801,,,200 Doug Baker Blvd,Hoover,AL,35242,,,,,"['Mo-Fr 07:00-19:00', 'Sa 09:00-14:00']",1,1,,,,,,https://www.yellowpages.com/hoover-al/mip/tuxshop-451171830,
Pike's Coin Laundry,(205) 425-2646,,,317 4th St N,Bessemer,AL,35020,,,,,"['Mo-Fr 07:30-19:30', 'Sa-Su 07:00-19:30']",,,,,,,,https://www.yellowpages.com/bessemer-al/mip/pikes-coin-laundry-11197243,
Mark's Quality Cleaners,(205) 991-8433,josh@marksqualitycleaners.com,http://www.marksqualitycleaners.com/main#!,,,,,,,,,"['Mo-Fr 06:45-18:30', 'Sa 08:00-14:00']",,,42 Years,,,,Accredited Business,https://www.yellowpages.com/nationwide/mip/marks-quality-cleaners-549055786,"Specializing in: 
- Dry Cleaners & Laundries 
- Delivery Service"
Coin Laundry,(205) 956-3515,,http://www.agorawa.com,4500 Montevallo Rd,Irondale,AL,35210,,,,,['Mo-Su 07:30-21:00'],5,1,27 Years,,,,,https://www.yellowpages.com/irondale-al/mip/coin-laundry-452500504,
Coin Laundry,(205) 440-1002,,,1728 15th St N,Bessemer,AL,35020,,,,,['Mo-Su 07:00-22:00'],,,16 Years,,,,Accredited Business,https://www.yellowpages.com/bessemer-al/mip/coin-laundry-467285341,
